bag_time_unix_s,candidate_id,condition_id,extent_m,frame_index,intensity_mean,lidar_rank,point_count,radial_velocity_mean_mps,voxel_count,voxel_persistence_fraction,x_m,y_m,z_m
1770273710.3231237,300m_roundtrip_10_e0020,300m_roundtrip_10,1.3173259817207637,222,16.333333333333332,20,3.0,0.08999999985098839,2.0,0.07943262411347518,370.30857340494794,-73.31078847249348,-32.85786692301432
1770273711.3140204,300m_roundtrip_10_e0020,300m_roundtrip_10,2.234874406011883,223,14.0,20,3.0,4.069999975462754,3.0,0.09645390070921984,372.8904724121094,-74.62894185384114,-33.96449661254883
1770273712.3359785,300m_roundtrip_10_e0020,300m_roundtrip_10,2.235054315254506,224,15.0,20,4.0,-3.355000089854002,3.0,0.039361702127659576,372.84771728515625,-73.32764625549316,-33.04660892486572
1770273713.3365126,300m_roundtrip_10_e0020,300m_roundtrip_10,0.0,225,14.0,20,1.0,0.0,1.0,0.059574468085106386,370.7916259765625,-72.69871520996094,-32.19106674194336
1770273714.3383386,300m_roundtrip_10_e0020,300m_roundtrip_10,2.001858843351103,226,14.0,20,2.0,-2.8650002479553223,2.0,0.0574468085106383,373.09580993652344,-73.24544525146484,-34.43999481201172
1770273715.3375652,300m_roundtrip_10_e0020,300m_roundtrip_10,1.4752266665736564,227,16.666666666666668,20,3.0,8.653333028157553,2.0,0.07801418439716312,373.7350769042969,-73.4904276529948,-34.33035786946615
1770273716.345833,300m_roundtrip_10_e0020,300m_roundtrip_10,3.100195504681696,228,19.333333333333332,20,3.0,1.1833333081255357,3.0,0.026950354609929075,376.5820719401042,-73.17420705159505,-34.7069346110026
1770273717.3374991,300m_roundtrip_10_e0020,300m_roundtrip_10,2.7220144832885884,229,19.333333333333332,20,3.0,-9.010000228881836,3.0,0.05390070921985815,381.1170959472656,-76.46683247884114,-34.32836405436198
1770273702.3255818,300m_roundtrip_10_e0021,300m_roundtrip_10,0.0,214,26.6,21,10.0,-0.11900000125169755,1.0,0.05106382978723404,351.9194030761719,-37.001882553100586,-33.142699813842775
1770273705.3357255,300m_roundtrip_10_e0021,300m_roundtrip_10,0.0,217,19.5,21,4.0,-0.06750000081956387,1.0,0.08085106382978724,366.86277770996094,-40.60488986968994,-34.5870304107666
1770273707.329224,300m_roundtrip_10_e0021,300m_roundtrip_10,0.0,219,18.666666666666668,21,3.0,-0.12333333616455396,1.0,0.059574468085106386,370.45713297526044,-53.99332173665365,-34.888528188069664
1770273708.3207467,300m_roundtrip_10_e0021,300m_roundtrip_10,0.0,220,16.666666666666668,21,3.0,-0.11666666716337204,1.0,0.15319148936170213,370.8382568359375,-60.753546396891274,-34.47551600138346
1770273710.3231237,300m_roundtrip_10_e0021,300m_roundtrip_10,1.3173259817207637,222,16.333333333333332,21,3.0,0.08999999985098839,2.0,0.07943262411347518,370.30857340494794,-73.31078847249348,-32.85786692301432
