candidate_id,condition_id,coverage,displacement_m,lidar_rank,lidar_score,median_direction_cosine,median_doppler_residual_mps,median_extent_m,median_intensity,median_persistence,median_points,median_radial_velocity_mps,median_speed_mps,observations,p90_acceleration_mps2,path_length_m,span_frames,support_fraction,supported_observations
300m_roundtrip_5_e0001,300m_roundtrip_5,0.8,22.67014155535893,1,8.78738759832035,0.9783485454339094,1.1238241675112879,1.1806570285946165,33.93665377176015,0.022679448211363105,36.0,-1.7566104184068134,1.301030720042884,8,3.0497497051806435,25.323463651668646,10,1.0,8
300m_roundtrip_5_e0002,300m_roundtrip_5,1.0,10.016084941154173,2,3.02225406905135,0.8130830160072756,1.6556621585110705,1.4237654231801362,13.0,0.11785714285714285,4.5,-0.03855555545952585,3.9076581942152226,10,4.161986510139463,31.196624929104182,10,0.7,7
300m_roundtrip_5_e0003,300m_roundtrip_5,0.9090909090909091,4.9537615963094055,3,2.163310244451261,0.36958851190930075,1.637234177956034,1.6585593697864516,16.9,0.11978021978021978,3.5,0.17458332787888745,2.1027473473330076,10,3.530093798444713,22.34205621667796,11,0.6,6
300m_roundtrip_5_e0004,300m_roundtrip_5,0.8,12.644593897786883,4,1.864256081400634,0.41922235342713,1.546293620094191,1.186680163572967,21.875,0.11904761904761904,3.0,-0.061666667461395264,2.656432338187379,8,3.3491198170320646,21.254618685205067,10,0.75,6
300m_roundtrip_5_e0005,300m_roundtrip_5,0.8888888888888888,23.24299987932935,5,0.8828909166664303,0.4334894563871871,3.1435781996216203,1.8812621356726098,15.5,0.1336996336996337,3.0,-1.2950001005083323,3.6240159097743017,8,4.751507345149789,29.417097805225048,9,0.625,5
100m_cross_10_e0001,100m_cross_10,1.0,20.2744135586451,1,69.76017948373263,0.7603246124714895,0.17650732363520744,0.19378857223663146,37.96666666666667,0.10762211486849169,52.0,-0.018620688660905278,0.6173668942270162,19,2.369688994018042,38.10298230078117,19,1.0,19
100m_cross_10_e0002,100m_cross_10,0.8235294117647058,9.344393142836413,2,28.51220850538187,0.922831676179011,0.17354123161039547,0.3139727856300849,37.3025078369906,0.0861513687600644,26.5,-0.04902777782020469,1.7457718449789934,14,3.2635354564510344,40.82484709423565,17,1.0,14
100m_cross_10_e0003,100m_cross_10,0.7857142857142857,38.69250295230657,3,18.930817637142265,0.9989642602176684,0.566156062081897,0.2904949397856149,38.20454545454545,0.022418478260869564,38.0,-0.046136364213783636,3.978284722143896,11,3.4170345931424064,61.548442347311344,14,1.0,11
100m_cross_10_e0004,100m_cross_10,0.8666666666666667,35.110905151888396,4,8.303865751405908,0.8604980041531061,2.4202117945827393,2.48440214961453,31.419354838709676,0.03216200119118522,39.0,-4.508602224370485,3.7448632028013815,13,4.632906894638148,45.95777548053506,15,1.0,13
100m_cross_10_e0005,100m_cross_10,1.0,7.9862574595963265,5,2.169872679588345,0.6298953238801549,2.3477644651404144,2.018040806275029,13.0,0.057971014492753624,3.0,-3.087272730740634,2.117425987820172,13,4.1920325712198965,28.988085515705244,13,0.6153846153846154,8
100m_cross_10_e0006,100m_cross_10,1.0,24.30665636227367,6,2.0315151565391574,0.9156713073806259,1.7292700411034243,1.7135726913601705,15.0,0.10144927536231885,5.0,0.03749999776482582,3.28988342390544,7,4.278124897786558,25.222144582807847,7,0.7142857142857143,5
100m_cross_10_e0007,100m_cross_10,0.7777777777777778,10.602706717485647,7,1.853006714129243,0.493306972142888,1.0196597686177005,2.564216346273153,12.0,0.12318840579710144,3.0,-0.043333335469166435,1.5578289516935535,7,3.111096424885515,16.354552063424652,9,0.7142857142857143,5
100m_cross_10_e0008,100m_cross_10,0.9166666666666666,16.745372282694042,8,1.8391802952884533,0.6112174008468023,2.2514807343833074,1.7077229797124809,15.0,0.1217391304347826,3.0,-0.5499999970197678,2.80409191866162,11,3.4875151131349966,32.770906277082645,12,0.5454545454545454,6
100m_cross_10_e0009,100m_cross_10,1.0,4.275098152565738,9,1.799535696424749,0.748270844256776,1.1516637520602084,0.7368890101824725,17.833333333333336,0.08333333333333334,3.0,0.16333333700895308,3.24267073376647,8,4.837335794739531,25.07037006401266,8,0.625,5
100m_cross_10_e0010,100m_cross_10,0.9,6.793075185607028,10,1.7901154481169241,0.40000561228196285,1.2915623508238565,0.0,14.25,0.1358695652173913,3.0,-0.16250000055879354,1.5022041982057757,9,3.3204741296871996,16.13344169796705,10,0.5555555555555556,5
100m_cross_10_e0011,100m_cross_10,1.0,10.20924748830634,11,1.7799688895545758,0.5194060458290162,1.699562956283195,0.0,15.25,0.1467391304347826,3.0,-1.1074999868869781,2.5034943423337452,7,2.923332771955166,14.177152209903209,7,0.7142857142857143,5
100m_cross_10_e0012,100m_cross_10,0.8,27.236399097404448,12,1.1078762098375488,0.7678314321461857,2.3328203055570693,0.971326580862434,14.5,0.09821428571428571,3.5,0.0033333323275049525,2.6128176891387502,8,4.711114046964337,32.2829936146287,10,0.625,5
