candidate_id,composite,condition_id,direction_median_deg,doppler_vs_gnss_rmse_mps,doppler_vs_lidar_rmse_mps,lidar_rank,model,path_fraction_of_gnss,position_rmse_m,range_rmse_m,split,time_offset_s
300m_roundtrip_10_e0003,30.30241512635066,300m_roundtrip_10,45.41222463849461,7.91375285551984,4.08854754387999,3,full_6dof_frozen,0.343754139295467,90.20887420088455,86.73058977613587,calibration,64.27159976959229
300m_roundtrip_10_e0003,30.08814051869704,300m_roundtrip_10,43.792095952373884,7.899340231631394,4.08854754387999,3,full_6dof_frozen,0.343754139295467,89.66511059642929,86.18656653506957,calibration,64.52159976959229
300m_roundtrip_10_e0003,29.781501137527837,300m_roundtrip_10,39.008620635605894,7.88266832538016,4.08854754387999,3,full_6dof_frozen,0.343754139295467,89.11502140886152,85.63955435010732,calibration,64.77159976959229
300m_roundtrip_10_e0003,29.61052775697646,300m_roundtrip_10,39.00862063560608,7.863807912087799,4.08854754387999,3,full_6dof_frozen,0.343754139295467,88.56448917695472,85.09138758545774,calibration,65.02159976959229
300m_roundtrip_10_e0003,29.440971814022546,300m_roundtrip_10,39.008620635606064,7.846489614838917,4.08854754387999,3,full_6dof_frozen,0.343754139295467,88.01750470193245,84.54596393694744,calibration,65.27159976959229
300m_roundtrip_10_e0003,29.335940012333133,300m_roundtrip_10,41.43173981434735,7.823111085797801,4.08854754387999,3,full_6dof_frozen,0.343754139295467,87.46153105855994,83.99159608257784,calibration,65.52159976959229
300m_roundtrip_10_e0003,29.153949973849176,300m_roundtrip_10,41.29895310940087,7.792022642975376,4.08854754387999,3,full_6dof_frozen,0.343754139295467,86.89919339871497,83.4335983207293,calibration,65.77159976959229
300m_roundtrip_10_e0003,28.976480330436495,300m_roundtrip_10,41.2989531094007,7.763433112325105,4.08854754387999,3,full_6dof_frozen,0.343754139295467,86.3374312728246,82.87478038436157,calibration,66.02159976959229
300m_roundtrip_10_e0003,28.80049389442447,300m_roundtrip_10,41.298953109400735,7.736747467793495,4.08854754387999,3,full_6dof_frozen,0.343754139295467,85.77909953925676,82.3184901453047,calibration,66.27159976959229
300m_roundtrip_10_e0003,28.620771770790782,300m_roundtrip_10,41.29895310940054,7.7071441796626585,4.08854754387999,3,full_6dof_frozen,0.343754139295467,85.21144059284448,81.75304781389382,calibration,66.52159976959229
300m_roundtrip_10_e0003,28.400882658176506,300m_roundtrip_10,40.02856233479977,7.670808355544166,4.08854754387999,3,full_6dof_frozen,0.343754139295467,84.63541123497097,81.1836610329949,calibration,66.77159976959229
300m_roundtrip_10_e0003,28.217562030887063,300m_roundtrip_10,40.028562334799865,7.6354026127589325,4.08854754387999,3,full_6dof_frozen,0.343754139295467,84.05967749890287,80.61393433589042,calibration,67.02159976959229
300m_roundtrip_10_e0003,28.0355978086879,300m_roundtrip_10,40.02856233479978,7.601572399487355,4.08854754387999,3,full_6dof_frozen,0.343754139295467,83.48726579879337,80.04670276373535,calibration,67.27159976959229
300m_roundtrip_10_e0003,27.851055669107296,300m_roundtrip_10,40.02856233479953,7.567630519366617,4.08854754387999,3,full_6dof_frozen,0.343754139295467,82.9061823559029,79.47110358747882,calibration,67.52159976959229
300m_roundtrip_10_e0003,27.663575317792727,300m_roundtrip_10,40.028562334799474,7.529305076731435,4.08854754387999,3,full_6dof_frozen,0.343754139295467,82.31732460170142,78.89200644573205,calibration,67.77159976959229
300m_roundtrip_10_e0003,27.476678348307498,300m_roundtrip_10,40.02856233479949,7.4932773642041965,4.08854754387999,3,full_6dof_frozen,0.343754139295467,81.72813246445683,78.31216385447358,calibration,68.02159976959229
300m_roundtrip_10_e0003,27.291142944481,300m_roundtrip_10,40.028562334799446,7.458906642002693,4.08854754387999,3,full_6dof_frozen,0.343754139295467,81.1421741567842,77.73475052617992,calibration,68.27159976959229
300m_roundtrip_10_e0003,27.103826979629886,300m_roundtrip_10,40.02856233480004,7.426232020402443,4.08854754387999,3,full_6dof_frozen,0.343754139295467,80.54816177582926,77.1496345950688,calibration,68.52159976959229
300m_roundtrip_10_e0003,26.891152484285236,300m_roundtrip_10,39.18471777343801,7.39437850654528,4.08854754387999,3,full_6dof_frozen,0.343754139295467,79.94587452949946,76.56104415432411,calibration,68.77159976959229
300m_roundtrip_10_e0003,26.674171303840335,300m_roundtrip_10,38.16477607424394,7.364960748549636,4.08854754387999,3,full_6dof_frozen,0.343754139295467,79.34373559238158,75.9719432743457,calibration,69.02159976959229
300m_roundtrip_10_e0003,26.487653809263175,300m_roundtrip_10,38.16477607424365,7.337273422447399,4.08854754387999,3,full_6dof_frozen,0.343754139295467,78.74457586471233,75.3850812087983,calibration,69.27159976959229
300m_roundtrip_10_e0003,26.299965545379248,300m_roundtrip_10,38.16477607424394,7.313481378751006,4.08854754387999,3,full_6dof_frozen,0.343754139295467,78.13685146086948,74.79015549746067,calibration,69.52159976959229
300m_roundtrip_10_e0003,26.112538958894024,300m_roundtrip_10,38.1647760742435,7.29427693240608,4.08854754387999,3,full_6dof_frozen,0.343754139295467,77.52153842776445,74.19268649216201,calibration,69.77159976959229
300m_roundtrip_10_e0003,25.92552126200988,300m_roundtrip_10,38.16477607424411,7.276492867755488,4.08854754387999,3,full_6dof_frozen,0.343754139295467,76.90643785308654,73.59478840283116,calibration,70.02159976959229
